215.000000 , 378.000000
1104.000000 , 383.000000
1119.000000 , 805.000000
1041.000000 , 686.000000
926.000000 , 806.000000
924.000000 , 615.000000
1272.000000 , 566.000000
1103.000000 , 462.000000
946.000000 , 529.000000
1392.000000 , 741.000000
1357.000000 , 448.000000
1216.000000 , 246.000000
902.000000 , 686.000000
1256.000000 , 806.000000
1177.000000 , 686.000000
1029.000000 , 473.000000
1356.000000 , 532.000000
1055.000000 , 716.000000
1407.000000 , 13.000000
1408.000000 , 853.000000
511.000000 , 276.000000
1083.000000 , 460.000000
1436.000000 , 270.000000
1185.000000 , 273.000000
1336.000000 , 529.000000
596.000000 , 306.000000
1437.000000 , 338.000000
442.000000 , 452.000000
894.000000 , 647.000000
613.000000 , 674.000000
540.000000 , 501.000000
664.000000 , 514.000000
820.000000 , 354.000000
446.000000 , 696.000000
1061.000000 , 594.000000
1057.000000 , 540.000000
235.000000 , 637.000000
1082.000000 , 429.000000
1165.000000 , 411.000000
891.000000 , 784.000000
1414.000000 , 243.000000
1184.000000 , 244.000000
1093.000000 , 578.000000
946.000000 , 218.000000
724.000000 , 263.000000
891.000000 , 612.000000
1414.000000 , 475.000000
529.000000 , 81.000000
367.000000 , 134.000000
279.000000 , 144.000000
1315.000000 , 665.000000
887.000000 , 253.000000
69.000000 , 144.000000
1333.000000 , 495.000000
1348.000000 , 646.000000
1302.000000 , 629.000000
0.000000 , 0.000000
0.000000 , 0.000000
0.000000 , 0.000000
0.000000 , 0.000000
0.000000 , 0.000000
0.000000 , 0.000000
